name_1,date_1,text,date,date_str,name
Jack,2019-02-24,Jack was born on the 24th of February.,2019-02-24,24th of February,Jack
Marco,2019-01-01,Marco was born on the 1st of January.,2019-01-01,1st of January,Marco
Blake,2019-02-22,Blake was born on the 22nd of February.,2019-02-22,22nd of February,Blake
William,2019-01-02,William was born on the 2nd of January.,2019-01-02,2nd of January,William
Jason,2019-02-15,Jason was born on the 15th of February.,2019-02-15,15th of February,Jason
Joy,2019-01-18,Joy was born on the 18th of January.,2019-01-18,18th of January,Joy
Josh,2019-01-08,Josh was born on the 8th of January.,2019-01-08,8th of January,Josh
Ian,2019-02-03,Ian was born on the 3rd of February.,2019-02-03,3rd of February,Ian
Dean,2019-01-11,Dean was born on the 11th of January.,2019-01-11,11th of January,Dean
Dean,2019-01-11,Dean was born on the 11th of January.,2019-01-11,11th of January,Dean
Jason,2019-02-04,Jason was born on the 4th of February.,2019-02-04,4th of February,Jason
Grant,2019-02-11,Grant was born on the 11th of February.,2019-02-11,11th of February,Grant
Kevin,2019-01-29,Kevin was born on the 29th of January.,2019-01-29,29th of January,Kevin
Josh,2019-01-01,Josh was born on the 1st of January.,2019-01-01,1st of January,Josh
Kyle,2019-02-23,Kyle was born on the 23rd of February.,2019-02-23,23rd of February,Kyle
Blake,2019-02-22,Blake was born on the 22nd of February.,2019-02-22,22nd of February,Blake
Charlie,2019-02-20,Charlie was born on the 20th of February.,2019-02-20,20th of February,Charlie
April,2019-01-17,April was born on the 17th of January.,2019-01-17,17th of January,April
Tyler,2019-01-06,Tyler was born on the 6th of January.,2019-01-06,6th of January,Tyler
Max,2019-02-22,Max was born on the 22nd of February.,2019-02-22,22nd of February,Max
Charlie,2019-02-09,Charlie was born on the 9th of February.,2019-02-09,9th of February,Charlie
Richard,2019-01-08,Richard was born on the 8th of January.,2019-01-08,8th of January,Richard
Steve,2019-01-06,Steve was born on the 6th of January.,2019-01-06,6th of January,Steve
Fred,2019-01-04,Fred was born on the 4th of January.,2019-01-04,4th of January,Fred
George,2019-01-21,George was born on the 21st of January.,2019-01-21,21st of January,George
Frank,2019-02-19,Frank was born on the 19th of February.,2019-02-19,19th of February,Frank
Josh,2019-02-25,Josh was born on the 25th of February.,2019-02-25,25th of February,Josh
Alex,2019-01-01,Alex was born on the 1st of January.,2019-01-01,1st of January,Alex
Henry,2019-01-24,Henry was born on the 24th of January.,2019-01-24,24th of January,Henry
Max,2019-02-22,Max was born on the 22nd of February.,2019-02-22,22nd of February,Max
